id,repo_id,label,url,if_mulit_commit,message,new_message1,authorEmail,commitDate
3079,2,0,"https://github.com/apache/dubbo/commit/1b2e6dcae46ba61874df21d17a127d65de4727e3
",1,remove some magic value (#4752) <enter>  <enter> * fixed typo of variable <enter>  <enter> * remove magic value,remove some magic value ( <link> )  <enter> * fixed typo of variable <enter> * remove magic value ,developer128,2019-08-06T07:23:45Z
5904,4,0,https://github.com/square/okhttp/commit/2fd0da8bc4a9c9d61b93af83b87383eacba850a3, ,Update concurrency.md (#6290),Update concurrency.md ( <link> ) ,developer129,2020-09-30T16:01:02Z
4224,2,0,https://github.com/apache/dubbo/commit/9e9e778e04aa95501e4ab9b49e8f927527e7e260, ,Optimize_hessian_desr_performance (#1705),Optimize_hessian_desr_performance ( <link> ) ,developer130,2018-04-26T10:51:02Z
5382,3,0,https://github.com/square/retrofit/commit/07548db79012d3ccacc5d883f3e71d24d0de359a, ,Add @PartMap annotation.,Add <iden> annotation. ,developer131,2014-05-01T17:16:02Z
6983,4,3,https://github.com/square/okhttp/commit/c310d27440bd58c23a8cb7795fe1e9514488c962, ,workaround broken system dns behaviour,workaround broken system  <file_name>  behaviour ,developer132,2017-11-17T11:02:26Z
3817,2,0,https://github.com/apache/dubbo/commit/7f262f960b830db3b80d35451f259430ae56b1c8, ,simplify map empty judgment (#3376),simplify map empty judgment ( <link> ) ,developer133,2019-01-29T05:38:51Z
2727,2,2,https://github.com/apache/dubbo/commit/ed7be11af9a8a9dddb4d23eea089f3890391575b, ,"constant names should be all uppercase, separated by underscores (#5356)","constant names should be all uppercase, separated by underscores ( <link> ) ",developer134,2020-02-01T06:58:09Z
2613,2,0,https://github.com/apache/dubbo/commit/912303d9c4aaf04866868e5e48ee247820f088ba, ,collect async export services (#5905),collect async export services ( <link> ) ,developer135,2020-04-01T14:49:58Z
4925,3,0,https://github.com/square/retrofit/commit/2cd4a03b8b50fff29188f0c1ad726a49a2ed0faa, ,Update to OkHttp 3.9.0.,Update to OkHttp <version>. ,developer136,2017-09-27T16:36:27Z
2884,2,2,https://github.com/apache/dubbo/commit/dfa84998968f7f9bfc25b935b531fcf8c67fe854, ,fix NetUtils.isPreferIPV6Address bug (#5238),fix  <method_name>  bug ( <link> ) ,developer137,2019-11-08T05:20:57Z
9465,5,0,https://github.com/spring-projects/spring-boot/commit/15de956566b0737d3e53a816a6be60ed3e41c759, ,Fix typo `Assert4J` -> `AssertJ` <enter>  <enter> See gh-22948,Fix typo `<iden>` -> `<iden>`  <enter> See  <link> ,developer138,2020-08-14T10:14:52Z
5058,3,0,https://github.com/square/retrofit/commit/238a9e59e69d61479a4505dba5f5659a599c699f, ,"Doc error. `@QueryMap` with `encoded=true` will stop default url encoding. So, calling with `foo.list(ImmutableMap.of('foo', 'foo+bar'))` yields '/search?foo=foo+bar' instead of '/search?foo=foo%2Bbar'.","Doc error. `<iden>` with `encoded=true` will stop default url encoding. So, calling with `foo.list(ImmutableMap.of('foo', 'foo+bar'))` yields '/search?foo=foo+bar' instead of '/search?foo=foo%2Bbar'. ",developer139,2016-03-07T02:32:06Z
3868,2,0,https://github.com/apache/dubbo/commit/c21cc05ec9ff4f96f34af9027714bb525cd0edf5, ,replace ServiceAnnotationBeanPostProcessor log.isInfoEnabled->log.isWarnEnabled (#2712) <enter>  <enter> simplify ExtensionLoader code segment,replace  <file_name>  log.isInfoEnabled->log.isWarnEnabled ( <link> ) <enter> simplify  <file_name>  code segment ,developer140,2018-10-31T03:29:54Z
5128,3,0,https://github.com/square/retrofit/commit/8eed9f264c13710fc0ac8251b3c5382a129a10ce, ,Add missing Call wrappers as return type,Add missing <iden> wrappers as return type ,developer141,2015-12-10T08:51:33Z
5375,3,0,https://github.com/square/retrofit/commit/2d2fa49fc094d8e5c04b06a54b1c09db430ca3b0, ,Remove synchronous from ErrorHandler docs,Remove synchronous from <iden> docs ,developer142,2014-05-14T17:30:21Z
7285,4,2,https://github.com/square/okhttp/commit/e3cd9b9f1c9787c36d5ea82190bf1e2365377e66, ,Fixes #2513 - NetworkSecurityPolicy based ConnectionSpec setup.,Fixes <link> - <iden> based <iden> setup. ,developer143,2016-04-27T02:05:28Z
1775,1,2,https://github.com/junit-team/junit4/commit/a688f6cecfe303b02087747226e5c376aebb0c44, ,"Issue #1127; when arrays differ in length, say so, but go ahead and find the first difference as usual to ease diagnosis","Issue <link> ; when arrays differ in length, say so, but go ahead and find the first difference as usual to ease diagnosis ",developer144,2016-05-15T22:35:58Z
2599,2,2,https://github.com/apache/dubbo/commit/317e62f73fd0a9bac4b34eb8b2c31bbae591ef91, ,Fix concurrency problems in RpcStatus and RoundRobinLoadBalance (#5881),Fix concurrency problems in  <file_name>  and  <file_name>  ( <link> ) ,developer145,2020-04-07T02:43:21Z
4951,3,2,https://github.com/square/retrofit/commit/a63faf44e1b103a49d25a15c720fc5940ae9fc07, ,Fixed copy-paste errors.,Fixed copy-paste errors. ,developer146,2017-04-21T00:36:13Z
5262,3,0,https://github.com/square/retrofit/commit/52be441605e6fc469ec718b2da954ad553491746, ,Fix foo/bar/baz in @Query documentation,Fix foo/bar/baz in @query documentation ,developer147,2015-04-26T09:32:20Z
7217,4,0,https://github.com/square/okhttp/commit/02b08fbde7b1726d7a4c0dc971152751ac82ca0a, ,"Allow HTAB in header values. <enter>  <enter> RFC 7230 section 3.2 allows HTAB ('	', 'u0009') inside header <enter> values as long as there is not more than one in a row: <enter>   https://tools.ietf.org/html/rfc7230#section-3.2 <enter>  <enter> Before this CL, OkHttp previously disallowed HTAB in header values. <enter> This CL changes behavior to allow any number of consecutive HTABs <enter> inside a header value; this is more permissive than the RFC, but <enter> is consistent with how OkHttp currently treats space characters <enter> (' ', 'u0020').","Allow HTAB in header values.  <enter> RFC 7230 section <version> allows HTAB ('	', 'u0009') inside header values as long as there is not more than one in a row:  <url>#section-<version>  <enter> Before this CL, OkHttp previously disallowed HTAB in header values. This CL changes behavior to allow any number of consecutive HTABs inside a header value; this is more permissive than the RFC, but is consistent with how OkHttp currently treats space characters (' ', 'u0020'). ",developer148,2016-09-07T17:23:08Z
5300,3,3,https://github.com/square/retrofit/commit/478e1ddfc774ae990a5efd3143c9e7e95994942c, ,Provide a setter to set strict mode to false,Provide a setter to set strict mode to false ,developer149,2014-11-19T23:15:53Z
4415,2,2,https://github.com/apache/dubbo/commit/6a7717970fd3abde99651d405dc1fd75bedfac1c, ,Update OverrideServiceImpl.java <enter>  <enter> fix the bug: cant enable override,Update  <file_name> <enter> fix the bug: cant enable override ,developer150,2017-10-10T09:06:02Z
7070,4,0,https://github.com/square/okhttp/commit/f87d32984dd9b1f5a7092b52dbecbafd784bd764, ,README: ProGuard changes for OkHttp 3.8.0,README: <iden> changes for OkHttp <version> ,developer151,2017-05-13T23:55:17Z
4221,2,0,https://github.com/apache/dubbo/commit/71e04fb634bf76d47c9ae55637db72fd7de50076, ,"Fix #1411 Java Locale use '_' split language, country, variant. (#1413)","Fix <link> Java <iden> use '_' split language, country, variant. ( <link> ) ",developer152,2018-04-04T03:01:26Z
15744,5,0,https://github.com/spring-projects/spring-boot/commit/b34e752db6d8bad7d040d19be545e3cfc57f3dcd, ,Ensure checking customizer ordering <enter>  <enter> See gh-15603,Ensure checking customizer ordering  <enter> See  <link> ,developer153,2019-01-03T01:19:20Z
2606,2,0,https://github.com/apache/dubbo/commit/d6672afbee70a9fea98a876a225ccb7ea17e028a, ,polish NetUtils#matchIpRange (#5773),polish  <method_name>  ( <link> ) ,developer154,2020-04-02T13:23:04Z
7043,4,0,https://github.com/square/okhttp/commit/2f1e59e16792f4204dd5d03482b4bdc67554d7d6, ,Travis: Remove the duplicate addons directive (#3492),Travis: Remove the duplicate addons directive ( <link> ) ,developer155,2017-08-01T19:14:38Z
8345,4,2,https://github.com/square/okhttp/commit/638ae21c7a6edc0e51bc624a80dfbc6fb8aa4236, ,"safer check for invalid values, without catching OOM","safer check for invalid values, without catching OOM ",developer156,2013-08-29T15:17:24Z
2912,2,2,https://github.com/apache/dubbo/commit/15d808446d4bebc3b87f986ccc657f9e5baff728, ,Fix Dubbo-3990 #3990 (#5247),Fix Dubbo-3990 <link> ( <link> ) ,developer157,2019-10-29T01:48:17Z
271,1,0,https://github.com/junit-team/junit4/commit/178f854e4c7e31ece6d71f5aa4433f0432349f4f, ,Make stylistic changes <enter>  <enter> Put { on first line with a space before it,Make stylistic changes  <enter> Put { on first line with a space before it ,developer158,2013-01-09T22:35:07Z
5156,3,3,https://github.com/square/retrofit/commit/8db48717825286e5d10a37a6600c34ba29b8822f, ,Added a checkstyle rule for the line indentation <enter>  <enter> Change-Id: I94d7404cb05c192021a6f737ffa6cf8c3fe9a3fa <enter> Signed-off-by: Simon Scholz <simon.scholz@vogella.com>,Added a  <file_name>  rule for the line indentation  <enter> Change-Id: I94d7404cb05c192021a6f737ffa6cf8c3fe9a3fa ,developer159,2015-11-10T00:15:37Z
9472,5,2,https://github.com/spring-projects/spring-boot/commit/c355b95f6c744191e9d90623281190b783542cc2, ,Fix conditions that lead to auto-configure PushGateway <enter>  <enter> See gh-22919,Fix conditions that lead to auto-configure <iden>  <enter> See  <link> ,developer160,2020-08-12T12:42:46Z
6612,4,0,https://github.com/square/okhttp/commit/8512256dff756888fc967f1763c3d882c892edda, ,"change var to val, readonly is better","change var to val, readonly is better ",developer161,2019-03-22T10:12:36Z
312,1,0,https://github.com/junit-team/junit4/commit/6b97cfa77503a00416f401ad47f375f087e8c3cb, ,Fixed typo [WiKi -> Wiki],Fixed typo [<iden> -> <iden>] ,developer162,2013-01-03T10:23:28Z
17266,5,0,https://github.com/spring-projects/spring-boot/commit/2516dc033f909281702dfd2f99e8d0f05d59af8b, ,"Fix documentation example <enter>  <enter> Previously, the nested private static class would cause an error at <enter> startup stating that it was not accessible when trying to bind the <enter> property from the environment. The nested class should be public. <enter>  <enter> Closes gh-4323","Fix documentation example  <enter> Previously, the nested private static class would cause an error at startup stating that it was not accessible when trying to bind the property from the environment. The nested class should be public. <enter>  Closes <link> ",developer163,2015-10-28T10:29:54Z
6401,4,0,https://github.com/square/okhttp/commit/2d75be404a6c5371faded5dcdcadd26f64199e0a, ,Convert HttpDate to Kotlin (#5000) <enter>  <enter> * Convert HttpDate to Kotlin <enter>  <enter> * Idiomatic Kotlin <enter>  <enter> * Revert back to if condition,Convert  <file_name>  to Kotlin ( <link> )  <enter> * Convert  <file_name>  to Kotlin <enter> * Idiomatic Kotlin <enter> * Revert back to if condition ,developer164,2019-05-05T00:50:57Z
10040,5,0,https://github.com/spring-projects/spring-boot/commit/0f9e8315bca4e3c8be824c2c1a1b7ec6defdc734, ,Replace use of deprecated Reactor MonoProcessor in tests <enter>  <enter> Fixes gh-23627,Replace use of deprecated Reactor <iden> in tests  <enter> Fixes <link> ,developer165,2020-10-09T20:14:32Z
4790,3,0,https://github.com/square/retrofit/commit/ce6e0d17005afd09c46e4fe6cf40643b0913c59d, ,"`URL` overload for `Retrofit.Builder#baseUrl` <enter>  <enter> Functionally does nothing, just somewhat cleaner to be able to do `baseUrl(URL)` than `baseUrl(URL#toString());` if handling a `URL` rather than `String`. <enter> Used `HttpUrl.get(String)` as `HttpUrl.get(URL)` returns null instead of throwing an exception.","`<iden>` overload for ` <method_name> <enter> Functionally does nothing, just somewhat cleaner to be able to do `baseUrl(<iden>)` than `baseUrl(<iden>#toString());` if handling a `<iden>` rather than `String`. Used `HttpUrl.get(String)` as `HttpUrl.get(<iden>)` returns null instead of throwing an exception. ",developer166,2019-05-30T16:52:37Z
15589,5,0,https://github.com/spring-projects/spring-boot/commit/e233ea7f546fcbc5fccf972bc70c26373103444c, ,Fix undertow access_log file name <enter>  <enter> Undertow 1.3.2 changed the default access log file suffix from '.log' <enter> to just 'log'. Thus we need to adapt the file name pattern to include <enter> the missing dot. <enter>  <enter> Closes gh-4670,Fix undertow access_log file name  <enter> Undertow <version> changed the default access log file suffix from '.log' to just 'log'. Thus we need to adapt the file name pattern to include the missing dot. <enter>  Closes <link> ,developer167,2015-12-03T11:21:37Z
1511,1,2,https://github.com/junit-team/junit4/commit/363755060f75d3d5cce21bd05d49110e02bc1ba2, ,Fix ResultMatchers#hasFailureContaining (#1292) <enter>  <enter> ResultMatchers.hasFailureContaining() should not match when the given PrintableResult has no failures.,Fix  <method_name>  ( <link> )  <enter>  <method_name>  should not match when the given <iden> has no failures. ,developer168,2016-09-18T17:34:02Z
19543,5,0,https://github.com/spring-projects/spring-boot/commit/e1c595a67fc06c634211a8cca652c40c67b3903e,1,Polish OutputCapture and its JUnit Jupiter extension <enter>  <enter> - Polish Javadoc <enter> - Improve error message in OutputCapture <enter> - Use ExtensionContext.Store in OutputCaptureExtension <enter>  <enter> See gh-17049,Polish  <file_name>  and its <iden> extension  <enter> - Polish Javadoc - Improve error message in  <file_name>  - Use <iden> in  <file_name>  <enter> See  <link> ,developer169,2019-06-03T10:57:21Z
