label,new_message1
0,remove some magic value ( <link> )  <enter> * fixed typo of variable <enter> * remove magic value 
0,Update concurrency.md ( <link> ) 
0,Optimize_hessian_desr_performance ( <link> ) 
0,Add <iden> annotation. 
3,workaround broken system  <file_name>  behaviour 
0,simplify map empty judgment ( <link> ) 
2,"constant names should be all uppercase, separated by underscores ( <link> ) "
0,collect async export services ( <link> ) 
0,Update to OkHttp <version>. 
2,fix  <method_name>  bug ( <link> ) 
0,Fix typo `<iden>` -> `<iden>`  <enter> See  <link> 
0,"Doc error. `<iden>` with `encoded=true` will stop default url encoding. So, calling with `foo.list(ImmutableMap.of('foo', 'foo+bar'))` yields '/search?foo=foo+bar' instead of '/search?foo=foo%2Bbar'. "
0,replace  <file_name>  log.isInfoEnabled->log.isWarnEnabled ( <link> ) <enter> simplify  <file_name>  code segment 
0,Add missing <iden> wrappers as return type 
0,Remove synchronous from <iden> docs 
2,Fixes <link> - <iden> based <iden> setup. 
2,"Issue <link> ; when arrays differ in length, say so, but go ahead and find the first difference as usual to ease diagnosis "
2,Fix concurrency problems in  <file_name>  and  <file_name>  ( <link> ) 
2,Fixed copy-paste errors. 
0,Fix foo/bar/baz in @query documentation 
0,"Allow HTAB in header values.  <enter> RFC 7230 section <version> allows HTAB ('	', 'u0009') inside header values as long as there is not more than one in a row:  <url>#section-<version>  <enter> Before this CL, OkHttp previously disallowed HTAB in header values. This CL changes behavior to allow any number of consecutive HTABs inside a header value; this is more permissive than the RFC, but is consistent with how OkHttp currently treats space characters (' ', 'u0020'). "
3,Provide a setter to set strict mode to false 
2,Update  <file_name> <enter> fix the bug: cant enable override 
0,README: <iden> changes for OkHttp <version> 
0,"Fix <link> Java <iden> use '_' split language, country, variant. ( <link> ) "
0,Ensure checking customizer ordering  <enter> See  <link> 
0,polish  <method_name>  ( <link> ) 
0,Travis: Remove the duplicate addons directive ( <link> ) 
2,"safer check for invalid values, without catching OOM "
2,Fix Dubbo-3990 <link> ( <link> ) 
0,Make stylistic changes  <enter> Put { on first line with a space before it 
3,Added a  <file_name>  rule for the line indentation  <enter> Change-Id: I94d7404cb05c192021a6f737ffa6cf8c3fe9a3fa 
2,Fix conditions that lead to auto-configure <iden>  <enter> See  <link> 
0,"change var to val, readonly is better "
0,Fixed typo [<iden> -> <iden>] 
0,"Fix documentation example  <enter> Previously, the nested private static class would cause an error at startup stating that it was not accessible when trying to bind the property from the environment. The nested class should be public. <enter>  Closes <link> "
0,Convert  <file_name>  to Kotlin ( <link> )  <enter> * Convert  <file_name>  to Kotlin <enter> * Idiomatic Kotlin <enter> * Revert back to if condition 
0,Replace use of deprecated Reactor <iden> in tests  <enter> Fixes <link> 
0,"`<iden>` overload for ` <method_name> <enter> Functionally does nothing, just somewhat cleaner to be able to do `baseUrl(<iden>)` than `baseUrl(<iden>#toString());` if handling a `<iden>` rather than `String`. Used `HttpUrl.get(String)` as `HttpUrl.get(<iden>)` returns null instead of throwing an exception. "
0,Fix undertow access_log file name  <enter> Undertow <version> changed the default access log file suffix from '.log' to just 'log'. Thus we need to adapt the file name pattern to include the missing dot. <enter>  Closes <link> 
2,Fix  <method_name>  ( <link> )  <enter>  <method_name>  should not match when the given <iden> has no failures. 
0,Polish  <file_name>  and its <iden> extension  <enter> - Polish Javadoc - Improve error message in  <file_name>  - Use <iden> in  <file_name>  <enter> See  <link> 
0,"Ensure exceptions from <iden>() don't result in unrooted tests.  <enter> The introduction of the <iden>() method in  <file_name>  in <iden> <version> introduced a regression with regard to exception handling. <enter> Specifically, the invocation of <iden>() is no longer executed within a try-catch block as was the case in previous versions of <iden>. <enter> <iden> modifications to <iden>() or the methods it invokes may in fact throw exceptions. In such cases, exceptions thrown from <iden>() cause the current test execution to abort immediately. As a result, the failing test method is unrooted in test reports, and subsequent test methods are never invoked. Furthermore, RunListeners registered with <iden> are not notified. <enter> This commit addresses this issue by wrapping the invocation of <iden>() within a try-catch block. If an exception is not thrown, the resulting <iden> is passed to <iden>(). If an exception is thrown, it is wrapped in a <iden> statement which is passed to <iden>(). <enter>  Closes <link> Closes <link> "
3,Add info on --filter option 
0,Fix dead link to the ant task in  <file_name>  ( <link> )  <enter> <iden> to the ant junit task has been moved to another location. 
0,"Doc:  <file_name>  should be treated as immutable once shared  <enter> ...given that requirement, it's safe for many threads to call the open() method concurrently to open their own connections. <enter>  <link> "
0,Fix typos in the documentation: though -> through  <enter> Closes <link> 
0,Remove redundant judgment ( <link> ) 
0,<link> Fix many warnings (Eclipse <version>/Juno based)  <enter> - Enh: add new 'staticondemandthreshold' setting to eclipse project jdt.ui preference settings file (although this is in fact not related to kcooney's import ordering change comment) 
3,Adding GET support to  <file_name>  
0,fix small types in the changelog 
3,Using <iden> in readme instead of <iden> 
0,Use try-with-resources in  <file_name> <enter> See  <link> 
3,"Squashed commit of the following:  <enter> commit  <link>  Author: Quinn Neumiiller <quinnjn@gmail.com> Date: Tue Apr 7 16:15:51 2015 -0600 <enter>   userRequest should always be sent back, networkRequest is included in <iden>. <enter> commit  <link>  Author: Quinn Neumiiller <quinnjn@gmail.com> Date: Mon Apr 6 20:19:27 2015 -0600 <enter>   Updating networkRequest when interceptors touch the request, attaching the request update to the userResponse. <enter> commit  <link>  Author: Quinn Neumiiller <quinnjn@gmail.com> Date: Mon Apr 6 18:36:38 2015 -0600 <enter>   Add a test for interceptor requests in the response "
0,"Fix export provider error, change to catch throwable, handle NoClassDefFoundError ( <link> ) "
3,Update Scala dependency 
3,changed the <iden>() method to accept a <iden> instead of an explicit <iden> and made some documentation changes 
3,closed method <iden> with } 
